dataset,algorithm,avg,max,min,recall,knn,n_queries,num_measure_runs,avg_all,max_all,min_all,ef_search,M,ef_construction,ivf_nprobe
glove-200-angular,ivf_faiss,4.836348875887063,6.942510604858398,2.6798248291015625,0.5970899999999996,10,10000,1,4.780034494400025,10.678529739379883,1.1773109436035156,0,0,0,24
glove-200-angular,ivf_faiss,4.43324661450408,6.4563751220703125,2.370595932006836,0.5802200000000008,10,10000,1,4.383221292495728,9.542703628540039,1.0464191436767578,0,0,0,22
glove-200-angular,ivf_faiss,4.0372092353928695,5.929708480834961,2.114534378051758,0.5628100000000018,10,10000,1,3.987454390525818,9.390592575073242,0.8828639984130859,0,0,0,20
glove-200-angular,ivf_faiss,3.6413081429933145,5.447864532470703,1.821279525756836,0.542910000000001,10,10000,1,3.5984323501586912,9.801864624023438,0.7159709930419922,0,0,0,18
glove-200-angular,ivf_faiss,3.246501525781756,4.898309707641602,1.5707015991210938,0.5241300000000003,10,10000,1,3.2068689346313475,8.944511413574219,0.6346702575683594,0,0,0,16
glove-200-angular,ivf_faiss,2.8481758172422844,4.405498504638672,1.2867450714111328,0.5029799999999994,10,10000,1,2.8172894954681396,8.395671844482422,0.5674362182617188,0,0,0,14
glove-200-angular,ivf_faiss,2.4543703547910978,3.865957260131836,1.0437965393066406,0.4807099999999983,10,10000,1,2.4271034240722655,8.046627044677734,0.4744529724121094,0,0,0,12
glove-200-angular,ivf_faiss,2.05421515880452,3.2863616943359375,0.8285045623779297,0.45658999999999617,10,10000,1,2.037791609764099,6.5860748291015625,0.3724098205566406,0,0,0,10
glove-200-angular,ivf_faiss,1.6570369430838203,2.722024917602539,0.5970001220703125,0.4297199999999943,10,10000,1,1.6486459732055665,4.425287246704102,0.32806396484375,0,0,0,8
glove-200-angular,ivf_faiss,1.2580733005743094,2.1538734436035156,0.3712177276611328,0.40010999999999236,10,10000,1,1.2607231855392456,4.283666610717773,0.21505355834960938,0,0,0,6
glove-200-angular,ivf_faiss,0.8640009307324803,1.5723705291748047,0.1595020294189453,0.356359999999993,10,10000,1,0.8672143459320069,1.7671585083007812,0.14138221740722656,0,0,0,4
glove-200-angular,ivf_faiss,0.4693779902919397,0.9098052978515625,0.09131431579589844,0.2841799999999933,10,10000,1,0.4749275207519531,1.004934310913086,0.09131431579589844,0,0,0,2
msong-420,ivf_faiss,51.77376798370428,67.14415550231934,36.795616149902344,1.0,10,1000,1,52.471258878707886,100.61144828796387,33.36048126220703,0,0,0,512
msong-420,ivf_faiss,26.513015410028785,38.79046440124512,14.652013778686523,0.9999,10,1000,1,26.566457509994507,54.36253547668457,13.67330551147461,0,0,0,256
msong-420,ivf_faiss,23.33690700818546,34.03210639953613,11.729001998901367,0.9999,10,1000,1,23.422810077667236,48.624515533447266,11.729001998901367,0,0,0,224
msong-420,ivf_faiss,20.300108943153266,29.265642166137695,10.048389434814453,0.9999,10,1000,1,20.373155117034912,38.40899467468262,10.048389434814453,0,0,0,192
msong-420,ivf_faiss,17.200702184194082,25.72178840637207,8.528470993041992,0.9997999999999999,10,1000,1,17.211376905441284,27.875423431396484,8.528470993041992,0,0,0,160
msong-420,ivf_faiss,15.590994923680395,23.8955020904541,7.622241973876953,0.9996999999999999,10,1000,1,15.600455522537231,25.051593780517578,7.622241973876953,0,0,0,144
msong-420,ivf_faiss,14.000932136213923,21.840572357177734,6.606340408325195,0.9996999999999999,10,1000,1,14.03968071937561,26.651382446289062,6.606340408325195,0,0,0,128
msong-420,ivf_faiss,12.227126666614124,19.48857307434082,5.548954010009766,0.9996999999999999,10,1000,1,12.235870838165283,20.971298217773438,5.548954010009766,0,0,0,112
msong-420,ivf_faiss,10.714624643325806,16.4642333984375,4.654884338378906,0.9995999999999999,10,1000,1,10.714624643325806,16.4642333984375,4.654884338378906,0,0,0,96
msong-420,ivf_faiss,9.016219095968122,14.472007751464844,3.6215782165527344,0.9993,10,1000,1,9.050620555877686,17.979860305786133,3.6215782165527344,0,0,0,80
msong-420,ivf_faiss,7.322037935256958,11.691093444824219,2.8471946716308594,0.9982999999999997,10,1000,1,7.322037935256958,11.691093444824219,2.8471946716308594,0,0,0,64
msong-420,ivf_faiss,6.491689443588257,9.04703140258789,2.5637149810791016,0.9975999999999996,10,1000,1,6.491689443588257,9.04703140258789,2.5637149810791016,0,0,0,56
msong-420,ivf_faiss,5.655238289154603,9.425878524780273,1.966238021850586,0.9967999999999995,10,1000,1,5.664844274520874,10.809183120727539,1.966238021850586,0,0,0,48
msong-420,ivf_faiss,4.76510928889574,7.844448089599609,1.5039443969726562,0.9949999999999992,10,1000,1,4.784954786300659,12.364387512207031,1.5039443969726562,0,0,0,40
msong-420,ivf_faiss,3.8817719598511355,6.427764892578125,1.0476112365722656,0.9921999999999989,10,1000,1,3.904203176498413,10.915517807006836,1.0476112365722656,0,0,0,32
msong-420,ivf_faiss,3.423596196784474,5.6896209716796875,0.9374618530273438,0.9895999999999987,10,1000,1,3.449418067932129,8.301496505737305,0.9374618530273438,0,0,0,28
msong-420,ivf_faiss,3.131744146347046,5.5141448974609375,0.8640289306640625,0.9874999999999985,10,1000,1,3.131744146347046,5.5141448974609375,0.8640289306640625,0,0,0,26
msong-420,ivf_faiss,2.9323174953460693,4.920721054077148,0.8230209350585938,0.9851999999999987,10,1000,1,2.9323174953460693,4.920721054077148,0.8230209350585938,0,0,0,24
msong-420,ivf_faiss,2.6805763244628906,4.446268081665039,0.7228851318359375,0.9821999999999983,10,1000,1,2.6805763244628906,4.446268081665039,0.7228851318359375,0,0,0,22
msong-420,ivf_faiss,2.465641892350114,4.130125045776367,0.5929470062255859,0.9788999999999979,10,1000,1,2.4679481983184814,4.771947860717773,0.5929470062255859,0,0,0,20
msong-420,ivf_faiss,2.213840961456299,3.7539005279541016,0.5517005920410156,0.9739999999999979,10,1000,1,2.213840961456299,3.7539005279541016,0.5517005920410156,0,0,0,18
msong-420,ivf_faiss,2.032056136977828,3.547191619873047,0.5300045013427734,0.9665999999999976,10,1000,1,2.039609432220459,5.600690841674805,0.5300045013427734,0,0,0,16
msong-420,ivf_faiss,1.7584614753723145,3.002166748046875,0.49614906311035156,0.9575999999999975,10,1000,1,1.7584614753723145,3.002166748046875,0.49614906311035156,0,0,0,14
msong-420,ivf_faiss,1.5303466320037842,2.6712417602539062,0.3867149353027344,0.946699999999997,10,1000,1,1.5303466320037842,2.6712417602539062,0.3867149353027344,0,0,0,12
msong-420,ivf_faiss,1.3006625175476074,2.3429393768310547,0.3635883331298828,0.9309999999999966,10,1000,1,1.3006625175476074,2.3429393768310547,0.3635883331298828,0,0,0,10
msong-420,ivf_faiss,1.066946268081665,1.9199848175048828,0.33473968505859375,0.9039999999999967,10,1000,1,1.066946268081665,1.9199848175048828,0.33473968505859375,0,0,0,8
msong-420,ivf_faiss,0.8304762840270996,1.5573501586914062,0.2682209014892578,0.8609999999999963,10,1000,1,0.8304762840270996,1.5573501586914062,0.2682209014892578,0,0,0,6
msong-420,ivf_faiss,0.5964332209799237,1.0919570922851562,0.1957416534423828,0.7796999999999978,10,1000,1,0.597487211227417,1.130819320678711,0.1957416534423828,0,0,0,4
msong-420,ivf_faiss,0.38092216355745645,0.7326602935791016,0.15807151794433594,0.6083999999999999,10,1000,1,0.40921735763549805,3.625154495239258,0.15807151794433594,0,0,0,2
contriever-768,ivf_faiss,149.51585123975786,160.98976135253906,138.86046409606934,0.9987499999999976,10,10000,1,151.00056717395782,259.232759475708,134.38844680786133,0,0,0,512
contriever-768,ivf_faiss,79.72088202427324,94.69032287597656,65.06538391113281,0.9951899999999938,10,10000,1,79.9257705450058,112.32185363769531,62.69431114196777,0,0,0,256
contriever-768,ivf_faiss,70.11501478906193,85.57558059692383,55.35244941711426,0.9943399999999936,10,10000,1,70.26361627578736,102.56052017211914,54.747581481933594,0,0,0,224
contriever-768,ivf_faiss,60.351642319539984,75.95586776733398,46.852827072143555,0.9932599999999924,10,10000,1,60.44947803020477,84.78069305419922,46.852827072143555,0,0,0,192
contriever-768,ivf_faiss,51.8567187165036,67.26646423339844,39.5503044128418,0.9916299999999912,10,10000,1,51.934673976898196,77.42881774902344,39.5503044128418,0,0,0,160
contriever-768,ivf_faiss,46.75909868148655,61.33270263671875,35.05516052246094,0.9906999999999909,10,10000,1,46.82684371471405,71.92134857177734,35.05516052246094,0,0,0,144
contriever-768,ivf_faiss,40.53161434241287,54.107666015625,30.536413192749023,0.9893999999999904,10,10000,1,40.57324209213257,59.72695350646973,30.536413192749023,0,0,0,128
contriever-768,ivf_faiss,35.342569918939354,48.0649471282959,25.36606788635254,0.9882299999999897,10,10000,1,35.40337727069855,58.8076114654541,25.36606788635254,0,0,0,112
contriever-768,ivf_faiss,30.264548210720324,41.834115982055664,20.992040634155273,0.9865799999999882,10,10000,1,30.309491896629332,53.17854881286621,20.992040634155273,0,0,0,96
contriever-768,ivf_faiss,25.19567173168841,35.23588180541992,17.086267471313477,0.9842299999999863,10,10000,1,25.246086096763612,41.95070266723633,17.086267471313477,0,0,0,80
contriever-768,ivf_faiss,20.156655463228798,28.622150421142578,13.47041130065918,0.980809999999985,10,10000,1,20.24997832775116,38.2084846496582,13.47041130065918,0,0,0,64
contriever-768,ivf_faiss,17.567193227199848,25.119781494140625,11.821746826171875,0.9782199999999837,10,10000,1,17.701603651046753,32.347679138183594,11.821746826171875,0,0,0,56
contriever-768,ivf_faiss,15.00527104765027,21.642684936523438,10.005712509155273,0.9752199999999822,10,10000,1,15.195435619354248,29.409408569335938,10.005712509155273,0,0,0,48
contriever-768,ivf_faiss,12.464108008042912,18.157482147216797,7.835149765014648,0.9710099999999806,10,10000,1,12.707875776290894,25.092363357543945,7.835149765014648,0,0,0,40
contriever-768,ivf_faiss,9.970455513128284,14.718294143676758,6.2885284423828125,0.9645899999999789,10,10000,1,10.22374439239502,23.10013771057129,6.2885284423828125,0,0,0,32
contriever-768,ivf_faiss,8.75815946187933,13.05246353149414,5.39851188659668,0.9604599999999779,10,10000,1,8.981744360923766,22.28093147277832,5.39851188659668,0,0,0,28
