dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
gist-960-euclidean,pdx-bsa,9.86084,19.8287,0.914214,0.938301,64,8,10,1000,0.2,1,9.861,19.83,0.9142,0
gist-960-euclidean,pdx-bsa,9.14683,18.5508,0.868827,0.927301,56,8,10,1000,0.2,1,9.147,18.55,0.8688,0
gist-960-euclidean,pdx-bsa,8.16451,16.9657,0.769579,0.910001,48,8,10,1000,0.2,1,8.24,20.03,0.7696,0
gist-960-euclidean,pdx-bsa,6.9126,14.3403,0.719293,0.886901,40,8,10,1000,0.2,1,7.038,15.24,0.7193,0
gist-960-euclidean,pdx-bsa,5.95326,12.2627,0.685354,0.851501,32,8,10,1000,0.2,1,6.123,14.95,0.6854,0
gist-960-euclidean,pdx-bsa,5.44534,11.1517,0.682504,0.832201,28,8,10,1000,0.2,1,5.608,12.77,0.6825,0
gist-960-euclidean,pdx-bsa,5.22426,10.71,0.676046,0.820401,26,8,10,1000,0.2,1,5.383,13.66,0.676,0
gist-960-euclidean,pdx-bsa,5.11325,10.3618,0.702768,0.804501,24,8,10,1000,0.2,1,5.263,13.03,0.7028,0
gist-960-euclidean,pdx-bsa,4.96912,9.84381,0.710946,0.786801,22,8,10,1000,0.2,1,5.084,12.46,0.7109,0
gist-960-euclidean,pdx-bsa,4.59125,9.01255,0.704452,0.766701,20,8,10,1000,0.2,1,4.746,10.35,0.7045,0
gist-960-euclidean,pdx-bsa,4.31816,8.53527,0.69611,0.747401,18,8,10,1000,0.2,1,4.435,10.07,0.6961,0
gist-960-euclidean,pdx-bsa,3.99122,7.7276,0.677916,0.7247,16,8,10,1000,0.2,1,4.135,9.643,0.6779,0
gist-960-euclidean,pdx-bsa,3.60306,6.92426,0.67186,0.6937,14,8,10,1000,0.2,1,3.757,8.673,0.6719,0
gist-960-euclidean,pdx-bsa,3.28506,6.32948,0.671509,0.6597,12,8,10,1000,0.2,1,3.435,8.296,0.6715,0
gist-960-euclidean,pdx-bsa,2.86443,5.43709,0.562675,0.6216,10,8,10,1000,0.2,1,3.022,9.385,0.5627,0
gist-960-euclidean,pdx-bsa,2.42692,4.64759,0.55767,0.5728,8,8,10,1000,0.2,1,2.612,7.472,0.5577,0
gist-960-euclidean,pdx-bsa,1.96641,3.61184,0.555897,0.512,6,8,10,1000,0.2,1,2.114,5.522,0.5559,0
gist-960-euclidean,pdx-bsa,1.55764,2.78064,0.486936,0.4278,4,8,10,1000,0.2,1,1.657,4.684,0.4869,0
gist-960-euclidean,pdx-bsa,1.04502,1.79795,0.467477,0.2992,2,8,10,1000,0.2,1,1.091,3.114,0.4675,0
deep-image-96-angular,pdx-bsa,13.0921,20.2627,5.74523,0.99288,512,8,10,10000,0.2,1,13.06,39.67,3.701,0
deep-image-96-angular,pdx-bsa,7.61604,12.4585,2.61462,0.987499,256,8,10,10000,0.2,1,7.626,18.32,2.026,0
deep-image-96-angular,pdx-bsa,6.78074,11.143,2.29583,0.985549,224,8,10,10000,0.2,1,6.798,23.26,1.792,0
deep-image-96-angular,pdx-bsa,5.94379,9.88287,1.91048,0.983319,192,8,10,10000,0.2,1,5.987,25.1,1.542,0
deep-image-96-angular,pdx-bsa,5.23056,8.80632,1.6095,0.979617,160,8,10,10000,0.2,1,5.295,23.57,1.393,0
deep-image-96-angular,pdx-bsa,4.80807,8.15902,1.41597,0.977618,144,8,10,10000,0.2,1,4.886,27.22,1.229,0
deep-image-96-angular,pdx-bsa,4.18451,7.07586,1.26213,0.974688,128,8,10,10000,0.2,1,4.253,8.852,1.126,0
deep-image-96-angular,pdx-bsa,3.84907,6.58118,1.11671,0.971087,112,8,10,10000,0.2,1,3.935,26.77,1.001,0
deep-image-96-angular,pdx-bsa,3.41067,5.87054,0.968456,0.965896,96,8,10,10000,0.2,1,3.495,17.11,0.9101,0
deep-image-96-angular,pdx-bsa,2.90128,4.96414,0.82237,0.958856,80,8,10,10000,0.2,1,2.987,13.99,0.7786,0
deep-image-96-angular,pdx-bsa,2.40537,4.16561,0.680806,0.948584,64,8,10,10000,0.2,1,2.478,5.88,0.6808,0
deep-image-96-angular,pdx-bsa,2.25722,3.92329,0.603409,0.940995,56,8,10,10000,0.2,1,2.327,6.411,0.6034,0
deep-image-96-angular,pdx-bsa,1.8502,3.22495,0.524919,0.931484,48,8,10,10000,0.2,1,1.906,5.547,0.5249,0
deep-image-96-angular,pdx-bsa,1.59756,2.78342,0.469708,0.918444,40,8,10,10000,0.2,1,1.649,5.895,0.4697,0
deep-image-96-angular,pdx-bsa,1.48337,2.57871,0.445546,0.901103,32,8,10,10000,0.2,1,1.529,5.639,0.4455,0
deep-image-96-angular,pdx-bsa,1.33033,2.29797,0.430066,0.889001,28,8,10,10000,0.2,1,1.373,5.194,0.4301,0
deep-image-96-angular,pdx-bsa,1.16947,2.01311,0.389043,0.88189,26,8,10,10000,0.2,1,1.206,6.743,0.389,0
deep-image-96-angular,pdx-bsa,1.07967,1.87082,0.361468,0.87379,24,8,10,10000,0.2,1,1.113,4.812,0.3615,0
