dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
deep-image-96-angular,pdx-bsa-dz,0.372675,0.557927,0.226892,0.577269,4,8,10,10000,0.2,1,0.381,4.094,0.2269,0
deep-image-96-angular,pdx-bsa-dz,0.283999,0.385734,0.196999,0.438552,2,8,10,10000,0.2,1,0.2893,3.56,0.197,0
contriever-768,pdx-bsa-dz,56.4988,107.279,5.29597,0.99843,512,12,10,10000,0.2,1,56.59,139.9,3.885,0
contriever-768,pdx-bsa-dz,31.9695,58.2999,5.62068,0.99509,256,12,10,10000,0.2,1,32.08,70.23,2.477,0
contriever-768,pdx-bsa-dz,28.9378,52.0801,5.21772,0.9942,224,12,10,10000,0.2,1,29.1,77.86,2.321,0
contriever-768,pdx-bsa-dz,25.3627,45.344,5.05231,0.99304,192,12,10,10000,0.2,1,25.52,62.77,2.159,0
contriever-768,pdx-bsa-dz,21.7035,38.3529,5.15794,0.99131,160,12,10,10000,0.2,1,21.89,56.08,1.89,0
contriever-768,pdx-bsa-dz,19.9141,34.9887,4.82225,0.99041,144,12,10,10000,0.2,1,20.09,47.38,1.816,0
contriever-768,pdx-bsa-dz,18.0435,31.4156,4.59704,0.989079,128,12,10,10000,0.2,1,18.23,46.92,1.686,0
contriever-768,pdx-bsa-dz,16.0112,27.6936,4.20029,0.987689,112,12,10,10000,0.2,1,16.21,40.05,1.535,0
contriever-768,pdx-bsa-dz,14.0901,24.223,3.96969,0.986039,96,12,10,10000,0.2,1,14.29,36.78,1.477,0
contriever-768,pdx-bsa-dz,12.1237,20.6422,3.60403,0.98309,80,12,10,10000,0.2,1,12.33,30.9,1.349,0
contriever-768,pdx-bsa-dz,10.0834,17.0159,3.14465,0.979489,64,12,10,10000,0.2,1,10.29,34.94,1.214,0
contriever-768,pdx-bsa-dz,9.05378,15.2081,2.91809,0.976979,56,12,10,10000,0.2,1,9.254,27.32,1.156,0
contriever-768,pdx-bsa-dz,7.99337,13.365,2.76666,0.973329,48,12,10,10000,0.2,1,8.188,26.43,1.073,0
contriever-768,pdx-bsa-dz,6.91446,11.5322,2.30921,0.968848,40,12,10,10000,0.2,1,7.093,24.08,1.016,0
contriever-768,pdx-bsa-dz,5.7812,9.58466,2.06541,0.961996,32,12,10,10000,0.2,1,5.951,25.36,0.9444,0
contriever-768,pdx-bsa-dz,5.20384,8.68198,1.74038,0.957566,28,12,10,10000,0.2,1,5.352,21.75,0.9029,0
contriever-768,pdx-bsa-dz,4.89753,8.16731,1.66727,0.954595,26,12,10,10000,0.2,1,5.042,22.62,0.8777,0
contriever-768,pdx-bsa-dz,4.60096,7.71269,1.55186,0.951295,24,12,10,10000,0.2,1,4.736,21.98,0.8433,0
contriever-768,pdx-bsa-dz,4.37047,7.33976,1.47062,0.947855,22,12,10,10000,0.2,1,4.504,20.65,0.8068,0
contriever-768,pdx-bsa-dz,3.98173,6.69923,1.38905,0.943134,20,12,10,10000,0.2,1,4.1,20.24,0.7807,0
contriever-768,pdx-bsa-dz,3.65284,6.15531,1.23001,0.937614,18,12,10,10000,0.2,1,3.768,20.23,0.7513,0
contriever-768,pdx-bsa-dz,3.3411,5.6517,1.11271,0.931644,16,12,10,10000,0.2,1,3.445,20.68,0.7154,0
contriever-768,pdx-bsa-dz,3.00185,5.09551,0.955383,0.924144,14,12,10,10000,0.2,1,3.103,19.03,0.6904,0
contriever-768,pdx-bsa-dz,2.65623,4.51674,0.827967,0.914363,12,12,10,10000,0.2,1,2.745,17.95,0.6233,0
contriever-768,pdx-bsa-dz,2.30716,3.91126,0.771603,0.901221,10,12,10,10000,0.2,1,2.388,16.75,0.5688,0
contriever-768,pdx-bsa-dz,1.95143,3.29894,0.665649,0.88323,8,12,10,10000,0.2,1,2.021,16.49,0.5335,0
contriever-768,pdx-bsa-dz,1.58862,2.66576,0.567608,0.854588,6,12,10,10000,0.2,1,1.65,15.73,0.4889,0
contriever-768,pdx-bsa-dz,1.20423,1.99477,0.440671,0.803578,4,12,10,10000,0.2,1,1.253,15.86,0.4407,0
contriever-768,pdx-bsa-dz,0.795026,1.33976,0.32171,0.686482,2,12,10,10000,0.2,1,0.8257,15.44,0.3217,0
instructorxl-arxiv-768,pdx-bsa-dz,32.5887,55.7901,10.7441,0.999,512,12,10,1000,0.2,1,32.75,65.38,5.094,0
instructorxl-arxiv-768,pdx-bsa-dz,19.2789,31.9622,6.47286,0.9957,256,12,10,1000,0.2,1,19.62,42.22,2.989,0
instructorxl-arxiv-768,pdx-bsa-dz,17.5453,28.2686,6.03522,0.9937,224,12,10,1000,0.2,1,17.72,38.45,2.747,0
instructorxl-arxiv-768,pdx-bsa-dz,15.5903,26.3561,5.48252,0.9909,192,12,10,1000,0.2,1,15.76,34.56,2.493,0
instructorxl-arxiv-768,pdx-bsa-dz,13.6034,22.353,4.84944,0.987701,160,12,10,1000,0.2,1,13.75,33.21,2.23,0
instructorxl-arxiv-768,pdx-bsa-dz,12.5775,19.8571,4.39517,0.985501,144,12,10,1000,0.2,1,12.69,28.79,2.073,0
instructorxl-arxiv-768,pdx-bsa-dz,11.4622,18.4658,4.06854,0.981301,128,12,10,1000,0.2,1,11.59,30.95,1.948,0
instructorxl-arxiv-768,pdx-bsa-dz,10.3468,16.7064,3.74328,0.977801,112,12,10,1000,0.2,1,10.49,28.75,1.831,0
instructorxl-arxiv-768,pdx-bsa-dz,9.24217,14.8249,3.42611,0.973801,96,12,10,1000,0.2,1,9.324,23.74,1.677,0
instructorxl-arxiv-768,pdx-bsa-dz,8.05488,12.8712,3.10703,0.968301,80,12,10,1000,0.2,1,8.119,23.46,1.547,0
instructorxl-arxiv-768,pdx-bsa-dz,6.80654,10.8766,2.815,0.958901,64,12,10,1000,0.2,1,6.866,23.26,1.418,0
instructorxl-arxiv-768,pdx-bsa-dz,6.16304,9.78773,2.63753,0.953901,56,12,10,1000,0.2,1,6.197,20.59,1.308,0
instructorxl-arxiv-768,pdx-bsa-dz,5.49635,8.78486,2.35552,0.946801,48,12,10,1000,0.2,1,5.537,20.52,1.225,0
