dataset,efsearch,recall,per_query_us,dimensionality
openai-1536-angular,240,98.26,11002.5,7270966464
openai-1536-angular,280,98.49,12117.9,8192954848
openai-1536-angular,320,98.73,13155.9,9083722592
openai-1536-angular,360,98.9,14142.5,9953165664
openai-1536-angular,400,98.99,15078.9,10801556768
openai-1536-angular,500,99.23,17213.5,12847111616
openai-1536-angular,600,99.39,19175.6,14820774944
openai-1536-angular,700,99.49,20986.6,16735076480
openai-1536-angular,800,99.55,22649.7,18603076224
sift-128-euclidean,5,68.45,136.502,112905632
sift-128-euclidean,10,82.12,208.073,209781600
sift-128-euclidean,20,91.55,322.208,394509952
sift-128-euclidean,30,95.37,430.979,576165664
sift-128-euclidean,40,96.84,530.077,753422208
sift-128-euclidean,50,97.98,633.415,928668480
sift-128-euclidean,60,98.56,725.512,1102625440
sift-128-euclidean,70,98.91,818.708,1273573568
sift-128-euclidean,80,99.14,914.43,1444125440
sift-128-euclidean,90,99.33,1008.78,1613479776
sift-128-euclidean,100,99.4,1105.21,1781207904
sift-128-euclidean,110,99.51,1192.58,1947589280
