dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
sift-128-euclidean,pdx-bsa,0.920905,1.49795,0.357021,0.940605,40,8,10,10000,0.2,1,0.929,5.075,0.357,0
sift-128-euclidean,pdx-bsa,0.765067,1.25832,0.301898,0.919253,32,8,10,10000,0.2,1,0.772,4.825,0.3019,0
sift-128-euclidean,pdx-bsa,0.685622,1.12518,0.264153,0.905502,28,8,10,10000,0.2,1,0.6925,4.787,0.2642,0
sift-128-euclidean,pdx-bsa,0.645194,1.06115,0.253175,0.897362,26,8,10,10000,0.2,1,0.6516,4.774,0.2532,0
sift-128-euclidean,pdx-bsa,0.604739,0.994946,0.246597,0.887611,24,8,10,10000,0.2,1,0.6115,4.629,0.2466,0
sift-128-euclidean,pdx-bsa,0.562391,0.928803,0.233866,0.87605,22,8,10,10000,0.2,1,0.5694,4.562,0.2339,0
sift-128-euclidean,pdx-bsa,0.519573,0.857524,0.217724,0.863809,20,8,10,10000,0.2,1,0.5261,4.575,0.2177,0
sift-128-euclidean,pdx-bsa,0.475959,0.783365,0.207919,0.848848,18,8,10,10000,0.2,1,0.4828,4.305,0.2079,0
sift-128-euclidean,pdx-bsa,0.431363,0.712111,0.180748,0.830686,16,8,10,10000,0.2,1,0.4394,4.428,0.1807,0
sift-128-euclidean,pdx-bsa,0.386985,0.639717,0.168042,0.808858,14,8,10,10000,0.2,1,0.3953,4.134,0.168,0
sift-128-euclidean,pdx-bsa,0.341321,0.562917,0.151505,0.78153,12,8,10,10000,0.2,1,0.3505,4.132,0.1515,0
sift-128-euclidean,pdx-bsa,0.296069,0.487034,0.136164,0.746971,10,8,10,10000,0.2,1,0.3048,4.148,0.1362,0
sift-128-euclidean,pdx-bsa,0.249185,0.405583,0.11853,0.702704,8,8,10,10000,0.2,1,0.2576,4.154,0.1185,0
sift-128-euclidean,pdx-bsa,0.201858,0.3245,0.10193,0.642616,6,8,10,10000,0.2,1,0.2093,3.993,0.1019,0
sift-128-euclidean,pdx-bsa,0.153275,0.241578,0.079297,0.553337,4,8,10,10000,0.2,1,0.1591,3.965,0.0793,0
sift-128-euclidean,pdx-bsa,0.099906,0.1503,0.05534,0.404061,2,8,10,10000,0.2,1,0.1031,3.862,0.05019,0
sift-128-euclidean,pdx-bsa-decimpr,4.3774,13.1248,1.29997,0.578841,512,8,10,10000,0.2,1,4.377,13.12,1.3,0
sift-128-euclidean,pdx-bsa-decimpr,2.48586,7.8483,0.728046,0.578361,256,8,10,10000,0.2,1,2.494,9.172,0.728,0
sift-128-euclidean,pdx-bsa-decimpr,2.21602,6.95708,0.641963,0.578161,224,8,10,10000,0.2,1,2.228,8.749,0.642,0
sift-128-euclidean,pdx-bsa-decimpr,1.94568,6.0469,0.561697,0.577631,192,8,10,10000,0.2,1,1.959,8.258,0.5617,0
sift-128-euclidean,pdx-bsa-decimpr,1.65429,5.0085,0.462836,0.576881,160,8,10,10000,0.2,1,1.665,7.215,0.4628,0
sift-128-euclidean,pdx-bsa-decimpr,1.49152,4.5799,0.426651,0.57617,144,8,10,10000,0.2,1,1.504,7.255,0.4267,0
sift-128-euclidean,pdx-bsa-decimpr,1.34972,3.63388,0.390198,0.57506,128,8,10,10000,0.2,1,1.36,6.512,0.3902,0
sift-128-euclidean,pdx-bsa-decimpr,1.2069,3.22247,0.349225,0.57367,112,8,10,10000,0.2,1,1.217,6.651,0.3492,0
sift-128-euclidean,pdx-bsa-decimpr,1.05956,2.87965,0.311841,0.571699,96,8,10,10000,0.2,1,1.068,6.07,0.3118,0
sift-128-euclidean,pdx-bsa-decimpr,0.908215,2.52715,0.273674,0.568229,80,8,10,10000,0.2,1,0.9148,5.215,0.2737,0
sift-128-euclidean,pdx-bsa-decimpr,0.753259,2.12711,0.234454,0.563209,64,8,10,10000,0.2,1,0.7589,5.616,0.2345,0
