dataset,method,bit,efsearch,recall,per_query_us
sift-128-euclidean,ivf,5,120,1945.76,0.96818
sift-128-euclidean,ivf,5,130,1854.33,0.968945
sift-128-euclidean,ivf,5,140,1771.13,0.96953
sift-128-euclidean,ivf,5,150,1690.49,0.969956
sift-128-euclidean,ivf,5,160,1630.92,0.970325
sift-128-euclidean,ivf,5,170,1558.67,0.97061
sift-128-euclidean,ivf,5,180,1506.64,0.970862
sift-128-euclidean,ivf,5,190,1454.05,0.971035
sift-128-euclidean,ivf,5,200,1422.9,0.971164
sift-128-euclidean,ivf,5,240,1264.91,0.971517
sift-128-euclidean,ivf,5,280,1138.57,0.971677
sift-128-euclidean,ivf,5,320,1035.02,0.971748
sift-128-euclidean,ivf,5,360,947.382,0.971786
sift-128-euclidean,ivf,5,400,868.332,0.971804
sift-128-euclidean,ivf,5,500,728.115,0.971818
sift-128-euclidean,ivf,5,600,639.488,0.971821
