dataset,method,bit,efsearch,recall,per_query_us
openai-1536-angular,hnsw,7,1500,134.934,0.9931
openai-1536-angular,hnsw,7,2000,103.437,0.9934
openai-1536-angular,hnsw,7,2500,83.3278,0.9937
openai-1536-angular,hnsw,7,3000,70.5836,0.994
sift-128-euclidean,hnsw,7,10,25871.3,0.70569
sift-128-euclidean,hnsw,7,20,18116.6,0.83206
sift-128-euclidean,hnsw,7,40,11955.5,0.91584
sift-128-euclidean,hnsw,7,50,10291.1,0.93296
sift-128-euclidean,hnsw,7,60,9036.7,0.94455
sift-128-euclidean,hnsw,7,80,7287.82,0.95892
sift-128-euclidean,hnsw,7,100,6131.33,0.96657
sift-128-euclidean,hnsw,7,150,4287.05,0.97516
sift-128-euclidean,hnsw,7,170,3832.19,0.97675
sift-128-euclidean,hnsw,7,190,3461.18,0.97778
sift-128-euclidean,hnsw,7,200,3297.03,0.97813
sift-128-euclidean,hnsw,7,250,2695.3,0.97947
sift-128-euclidean,hnsw,7,300,2246.37,0.98039
sift-128-euclidean,hnsw,7,400,1702.33,0.9812
sift-128-euclidean,hnsw,7,500,1356.28,0.98152
sift-128-euclidean,hnsw,7,600,1110.29,0.9817
sift-128-euclidean,hnsw,7,700,956.481,0.98179
sift-128-euclidean,hnsw,7,800,826.934,0.98183
sift-128-euclidean,hnsw,7,1000,662.806,0.9819
sift-128-euclidean,hnsw,7,1500,421.393,0.98195
sift-128-euclidean,hnsw,7,2000,316.679,0.98195
sift-128-euclidean,hnsw,7,2500,244.879,0.98195
sift-128-euclidean,hnsw,7,3000,198.075,0.98195
