dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
instructorxl-arxiv-768_1000k,pdx-adsampling,2.56746,5.37521,0.852634,0.973101,48,2.1,10,1000,0.2,1,2.618,7.87,0.8526,0,2.26782
instructorxl-arxiv-768_1000k,pdx-adsampling,2.32789,4.81883,0.791947,0.964801,40,2.1,10,1000,0.2,1,2.367,9.782,0.7919,0,2.02562
instructorxl-arxiv-768_1000k,pdx-adsampling,2.06321,4.16743,0.741904,0.955601,32,2.1,10,1000,0.2,1,2.093,7.99,0.7419,0,1.76058
instructorxl-arxiv-768_1000k,pdx-adsampling,1.92348,3.89598,0.714004,0.947501,28,2.1,10,1000,0.2,1,1.943,4.3,0.714,0,1.61427
instructorxl-arxiv-768_1000k,pdx-adsampling,1.85296,3.73725,0.701169,0.942801,26,2.1,10,1000,0.2,1,1.866,4.138,0.7012,0,1.53916
instructorxl-arxiv-768_1000k,pdx-adsampling,1.77719,3.53387,0.690885,0.938801,24,2.1,10,1000,0.2,1,1.794,6.83,0.6909,0,1.46915
instructorxl-arxiv-768_1000k,pdx-adsampling,1.69815,3.30334,0.671299,0.933501,22,2.1,10,1000,0.2,1,1.711,3.685,0.6713,0,1.38756
instructorxl-arxiv-768_1000k,pdx-adsampling,1.61631,3.12803,0.657041,0.927401,20,2.1,10,1000,0.2,1,1.628,3.454,0.657,0,1.30713
instructorxl-arxiv-768_1000k,pdx-adsampling,1.53542,2.92234,0.638071,0.920201,18,2.1,10,1000,0.2,1,1.548,7.894,0.6381,0,1.22934
instructorxl-arxiv-768_1000k,pdx-adsampling,1.44826,2.72244,0.612991,0.910401,16,2.1,10,1000,0.2,1,1.454,3.03,0.613,0,1.13748
instructorxl-arxiv-768_1000k,pdx-adsampling,1.3579,2.4822,0.554082,0.898401,14,2.1,10,1000,0.2,1,1.363,2.776,0.5541,0,1.0481
instructorxl-arxiv-768_1000k,pdx-adsampling,1.25974,2.31088,0.519048,0.884301,12,2.1,10,1000,0.2,1,1.263,2.55,0.519,0,0.950442
instructorxl-arxiv-768_1000k,pdx-adsampling,1.15108,2.02618,0.457887,0.8635,10,2.1,10,1000,0.2,1,1.164,8.578,0.4579,0,0.852627
instructorxl-arxiv-768_1000k,pdx-adsampling,1.03626,1.73679,0.428384,0.8395,8,2.1,10,1000,0.2,1,1.043,2.087,0.4284,0,0.734276
instructorxl-arxiv-768_1000k,pdx-adsampling,0.914635,1.47797,0.406933,0.801,6,2.1,10,1000,0.2,1,0.9187,1.719,0.4069,0,0.61157
instructorxl-arxiv-768_1000k,pdx-adsampling,0.770107,1.17299,0.398084,0.7369,4,2.1,10,1000,0.2,1,0.7747,1.384,0.3981,0,0.469328
instructorxl-arxiv-768_1000k,pdx-adsampling,0.588304,0.831903,0.364345,0.6015,2,2.1,10,1000,0.2,1,0.5925,0.986,0.3362,0,0.288462
instructorxl-arxiv-768_100k,pdx-adsampling,3.63957,7.66799,1.12546,0.9998,256,2.1,10,1000,0.2,1,3.8,11.07,1.125,0,3.60818
instructorxl-arxiv-768_100k,pdx-adsampling,3.4809,7.3215,1.04537,0.9998,224,2.1,10,1000,0.2,1,3.602,10.31,1.045,0,3.41577
instructorxl-arxiv-768_100k,pdx-adsampling,3.26759,6.89293,0.956534,0.9998,192,2.1,10,1000,0.2,1,3.377,9.458,0.9565,0,3.19907
instructorxl-arxiv-768_100k,pdx-adsampling,3.01093,6.36618,0.871465,0.9998,160,2.1,10,1000,0.2,1,3.114,8.353,0.8715,0,2.94514
instructorxl-arxiv-768_100k,pdx-adsampling,2.88978,6.13128,0.815583,0.9997,144,2.1,10,1000,0.2,1,2.979,8.022,0.8156,0,2.81443
instructorxl-arxiv-768_100k,pdx-adsampling,2.73629,5.83552,0.768223,0.9997,128,2.1,10,1000,0.2,1,2.812,7.32,0.7682,0,2.65434
instructorxl-arxiv-768_100k,pdx-adsampling,2.57853,5.48017,0.706677,0.9997,112,2.1,10,1000,0.2,1,2.642,6.719,0.7067,0,2.4913
instructorxl-arxiv-768_100k,pdx-adsampling,2.40072,5.07169,0.662862,0.9993,96,2.1,10,1000,0.2,1,2.453,6.115,0.6629,0,2.30842
instructorxl-arxiv-768_100k,pdx-adsampling,2.19353,4.66015,0.601962,0.9985,80,2.1,10,1000,0.2,1,2.234,5.504,0.602,0,2.09753
instructorxl-arxiv-768_100k,pdx-adsampling,1.96597,4.04002,0.534333,0.9967,64,2.1,10,1000,0.2,1,2.005,4.74,0.5343,0,1.87364
instructorxl-arxiv-768_100k,pdx-adsampling,1.84098,3.79304,0.479712,0.9954,56,2.1,10,1000,0.2,1,1.868,4.335,0.4797,0,1.73976
instructorxl-arxiv-768_100k,pdx-adsampling,1.69749,3.47878,0.418509,0.9942,48,2.1,10,1000,0.2,1,1.72,3.871,0.4185,0,1.59426
instructorxl-arxiv-768_100k,pdx-adsampling,1.54165,3.06788,0.367807,0.9907,40,2.1,10,1000,0.2,1,1.558,4.075,0.3678,0,1.43576
instructorxl-arxiv-768_100k,pdx-adsampling,1.37262,2.71854,0.327191,0.986201,32,2.1,10,1000,0.2,1,1.38,3.047,0.3272,0,1.26041
instructorxl-arxiv-768_100k,pdx-adsampling,1.27609,2.52532,0.313389,0.981601,28,2.1,10,1000,0.2,1,1.28,2.8,0.3134,0,1.16185
instructorxl-arxiv-768_100k,pdx-adsampling,1.22614,2.31211,0.296835,0.979201,26,2.1,10,1000,0.2,1,1.231,2.722,0.2968,0,1.11351
instructorxl-arxiv-768_100k,pdx-adsampling,1.17432,2.24449,0.277315,0.976301,24,2.1,10,1000,0.2,1,1.178,2.508,0.2773,0,1.06075
instructorxl-arxiv-768_100k,pdx-adsampling,1.11517,2.12573,0.266112,0.972201,22,2.1,10,1000,0.2,1,1.117,2.356,0.2661,0,1.00147
instructorxl-arxiv-768_100k,pdx-adsampling,1.05895,2.0114,0.260971,0.967901,20,2.1,10,1000,0.2,1,1.065,3.812,0.261,0,0.949444
instructorxl-arxiv-768_100k,pdx-adsampling,0.996546,1.88274,0.248013,0.961401,18,2.1,10,1000,0.2,1,0.9975,1.925,0.248,0,0.882972
instructorxl-arxiv-768_100k,pdx-adsampling,0.9333,1.7178,0.231666,0.953001,16,2.1,10,1000,0.2,1,0.9342,1.786,0.2317,0,0.820279
instructorxl-arxiv-768_100k,pdx-adsampling,0.868258,1.59553,0.217024,0.943001,14,2.1,10,1000,0.2,1,0.869,1.605,0.217,0,0.75587
instructorxl-arxiv-768_100k,pdx-adsampling,0.794171,1.41705,0.210904,0.930301,12,2.1,10,1000,0.2,1,0.7948,1.418,0.2109,0,0.682464
instructorxl-arxiv-768_100k,pdx-adsampling,0.713616,1.21564,0.188163,0.912001,10,2.1,10,1000,0.2,1,0.7162,2.682,0.1882,0,0.604665
instructorxl-arxiv-768_100k,pdx-adsampling,0.626145,1.05207,0.178813,0.883401,8,2.1,10,1000,0.2,1,0.6262,1.171,0.1721,0,0.51562
instructorxl-arxiv-768_100k,pdx-adsampling,0.532514,0.873545,0.237393,0.843901,6,2.1,10,1000,0.2,1,0.5329,0.9039,0.1587,0,0.423079
instructorxl-arxiv-768_100k,pdx-adsampling,0.42138,0.656915,0.212702,0.775301,4,2.1,10,1000,0.2,1,0.4222,0.7108,0.1493,0,0.313111
instructorxl-arxiv-768_100k,pdx-adsampling,0.289543,0.438107,0.138814,0.6273,2,2.1,10,1000,0.2,1,0.2902,0.4695,0.1388,0,0.182155
