dataset,method,efsearch,recall,per_query_us
instructorxl-arxiv-768,ivf,1500,60.2178,0.94436
instructorxl-arxiv-768,ivf,2000,45.9741,0.94436
msong-420,ivf,5,3446.55,0.73038
msong-420,ivf,10,2882.0,0.85657
msong-420,ivf,20,2286.87,0.91859
msong-420,ivf,30,1924.92,0.93356
msong-420,ivf,40,1670.02,0.93921
msong-420,ivf,50,1480.33,0.94213
msong-420,ivf,60,1336.85,0.94358
msong-420,ivf,70,1220.62,0.9445
msong-420,ivf,80,1121.52,0.94506
msong-420,ivf,90,1035.51,0.94536
msong-420,ivf,100,959.523,0.94566
msong-420,ivf,110,896.196,0.94587
msong-420,ivf,120,842.207,0.94598
msong-420,ivf,130,794.855,0.94608
msong-420,ivf,140,752.767,0.94616
msong-420,ivf,150,715.969,0.94624
msong-420,ivf,160,681.693,0.94629
msong-420,ivf,170,652.038,0.94635
msong-420,ivf,180,624.903,0.94643
msong-420,ivf,190,599.581,0.94644
openai-1536-angular,ivf,5,1362.44,0.69617
openai-1536-angular,ivf,10,1219.16,0.77029
openai-1536-angular,ivf,20,1031.66,0.82729
openai-1536-angular,ivf,30,901.216,0.85618
openai-1536-angular,ivf,40,799.731,0.87447
openai-1536-angular,ivf,50,720.273,0.88721
openai-1536-angular,ivf,60,655.995,0.89699
openai-1536-angular,ivf,70,602.958,0.90471
openai-1536-angular,ivf,80,558.121,0.91073
openai-1536-angular,ivf,90,520.153,0.91574
openai-1536-angular,ivf,100,486.583,0.91973
openai-1536-angular,ivf,110,456.461,0.92304
openai-1536-angular,ivf,120,430.414,0.92598
openai-1536-angular,ivf,130,388.487,0.92846
openai-1536-angular,ivf,140,368.492,0.93072
openai-1536-angular,ivf,150,367.281,0.93294
openai-1536-angular,ivf,160,333.6,0.93492
openai-1536-angular,ivf,170,318.723,0.93643
openai-1536-angular,ivf,180,305.098,0.9379
openai-1536-angular,ivf,190,307.925,0.93949
openai-1536-angular,ivf,200,281.179,0.941
openai-1536-angular,ivf,240,240.852,0.94473
openai-1536-angular,ivf,280,212.628,0.94741
openai-1536-angular,ivf,320,190.146,0.94943
openai-1536-angular,ivf,360,172.037,0.95123
openai-1536-angular,ivf,400,157.651,0.95274
openai-1536-angular,ivf,500,130.81,0.95547
openai-1536-angular,ivf,600,111.371,0.95692
openai-1536-angular,ivf,700,97.3487,0.95797
openai-1536-angular,ivf,800,86.5511,0.95867
openai-1536-angular,ivf,900,77.9764,0.95915
openai-1536-angular,ivf,1000,71.012,0.95955
openai-1536-angular,ivf,1100,65.0287,0.95981
openai-1536-angular,ivf,1200,59.946,0.96002
openai-1536-angular,ivf,1300,55.7131,0.96021
openai-1536-angular,ivf,1400,52.2087,0.96042
openai-1536-angular,ivf,1500,49.0706,0.96061
openai-1536-angular,ivf,2000,40.5424,0.96092
openai-1536-angular,ivf,2500,40.5482,0.96092
sift-128-euclidean,ivf,5,8029.39,0.572053
sift-128-euclidean,ivf,10,6466.91,0.711756
sift-128-euclidean,ivf,20,4927.16,0.81495
sift-128-euclidean,ivf,30,4120.29,0.852925
sift-128-euclidean,ivf,40,3589.34,0.870809
sift-128-euclidean,ivf,50,3195.22,0.880508
sift-128-euclidean,ivf,60,2906.3,0.886568
sift-128-euclidean,ivf,70,2686.14,0.890383
sift-128-euclidean,ivf,80,2505.65,0.892842
sift-128-euclidean,ivf,90,2343.02,0.894592
sift-128-euclidean,ivf,100,2204.03,0.895831
sift-128-euclidean,ivf,110,2084.4,0.896727
sift-128-euclidean,ivf,120,1973.33,0.897439
sift-128-euclidean,ivf,130,1904.36,0.897953
sift-128-euclidean,ivf,140,1810.21,0.898306
sift-128-euclidean,ivf,150,1727.03,0.898607
sift-128-euclidean,ivf,160,1670.37,0.898849
sift-128-euclidean,ivf,170,1573.34,0.899049
sift-128-euclidean,ivf,180,1518.58,0.899199
sift-128-euclidean,ivf,190,1466.77,0.899322
sift-128-euclidean,ivf,200,1438.89,0.899414
sift-128-euclidean,ivf,240,1286.4,0.89962
sift-128-euclidean,ivf,280,1165.39,0.899728
sift-128-euclidean,ivf,320,1064.28,0.899769
sift-128-euclidean,ivf,360,969.819,0.899802
sift-128-euclidean,ivf,400,889.091,0.899815
sift-128-euclidean,ivf,500,742.399,0.899829
sift-128-euclidean,ivf,600,653.456,0.899833
