dataset,efsearch,recall,per_query_us,dimensionality
gist-960-euclidean,160,99.23,16680.7,6415279008
gist-960-euclidean,180,99.42,18302.0,7013838080
gist-960-euclidean,200,99.5,19800.5,7587676096
glove-200-angular,20,64.813,17520.4,50198330032
glove-200-angular,40,80.535,31872.9,90846552136
glove-200-angular,60,87.968,44975.5,127280980896
glove-200-angular,80,91.43,57193.4,160348190080
glove-200-angular,100,92.928,68126.1,190453931792
glove-200-angular,120,93.714,78131.7,218100469608
glove-200-angular,140,94.158,87389.7,243466990176
glove-200-angular,160,94.39,95955.6,266836178408
glove-200-angular,180,94.512,103851.0,288350428112
glove-200-angular,200,94.587,111052.0,308218451576
glove-200-angular,220,94.627,117793.0,326442159840
glove-200-angular,240,94.641,124219.0,343178577936
glove-200-angular,260,94.655,129869.0,358462802888
glove-200-angular,280,94.666,134945.0,372368450192
glove-200-angular,300,94.67,139064.0,384906939400
glove-200-angular,320,94.677,142349.0,396149209376
glove-200-angular,340,94.679,145913.0,406024372904
glove-200-angular,360,94.679,149036.0,414607965120
glove-200-angular,380,94.681,152122.0,421913618232
glove-200-angular,400,94.681,154516.0,428073656296
glove-50-angular,20,84.993,1777.83,4011001024
glove-50-angular,40,91.172,3299.31,7558368932
glove-50-angular,60,93.727,4790.79,10921058656
glove-50-angular,80,95.08,6296.65,14171609714
glove-50-angular,100,95.966,7712.27,17326920326
glove-50-angular,120,96.59,9132.98,20418549766
glove-50-angular,140,97.019,10543.9,23434782236
glove-50-angular,160,97.344,11950.0,26396455090
glove-50-angular,180,97.572,13336.1,29289732618
glove-50-angular,200,97.746,14693.9,32129920320
glove-50-angular,220,97.903,16034.7,34922016854
glove-50-angular,240,98.02,17381.9,37664147908
glove-50-angular,260,98.116,18735.8,40360333772
glove-50-angular,280,98.207,20191.8,43016810500
glove-50-angular,300,98.27,21524.3,45623064518
glove-50-angular,320,98.314,22839.3,48178959070
glove-50-angular,340,98.346,24177.7,50707268868
glove-50-angular,360,98.384,25492.5,53194140266
glove-50-angular,380,98.412,26767.2,55641845546
glove-50-angular,400,98.431,27996.1,58055696782
instructorxl-arxiv-768,20,92.43,5372.1,1346626944
instructorxl-arxiv-768,40,96.19,6724.26,2299289088
instructorxl-arxiv-768,60,97.6,7826.36,3165153472
instructorxl-arxiv-768,80,98.41,9696.0,3974279616
instructorxl-arxiv-768,100,98.88,11514.3,4741631808
instructorxl-arxiv-768,120,99.23,13268.3,5482212320
instructorxl-arxiv-768,140,99.39,14955.0,6197672992
instructorxl-arxiv-768,160,99.5,16626.6,6893341216
msong-420,20,97.86,2492.5,670605896
msong-420,40,99.53,4239.12,1191186276
openai-1536-angular,20,87.13,5035.74,1098004768
openai-1536-angular,40,91.73,7476.59,1746777504
openai-1536-angular,60,94.03,7604.25,2318799008
openai-1536-angular,80,95.28,7977.3,2848076608
openai-1536-angular,100,96.13,9181.72,3345358144
openai-1536-angular,120,96.66,10383.3,3824301344
openai-1536-angular,140,97.1,11543.5,4289874752
openai-1536-angular,160,97.41,12698.0,4738995712
openai-1536-angular,180,97.67,13797.3,5181701696
openai-1536-angular,200,97.97,14919.8,5614654688
openai-1536-angular,220,98.2,16008.1,6035103936
openai-1536-angular,240,98.33,17024.6,6448080544
openai-1536-angular,260,98.4,18069.9,6854655776
openai-1536-angular,280,98.58,19153.5,7260697152
openai-1536-angular,300,98.76,20174.1,7657994912
openai-1536-angular,320,98.8,21199.1,8049769728
openai-1536-angular,340,98.93,22256.7,8438239776
openai-1536-angular,360,98.99,23298.4,8824448928
openai-1536-angular,380,99.05,24314.3,9208063232
openai-1536-angular,400,99.16,25374.6,9584816768
sift-128-euclidean,20,91.293,1616.09,4497842720
sift-128-euclidean,40,96.843,2907.97,8266208320
sift-128-euclidean,60,98.505,4140.44,11866229216
sift-128-euclidean,80,99.25,5342.64,15372667488
sift-128-euclidean,100,99.58,6527.22,18813838144
