dataset,efsearch,recall,per_query_us,total_time,distance_time
msong-420,30,82.48,329.843,0.294267,0.27596
msong-420,40,84.71,394.828,0.359252,0.334592
msong-420,50,86.22,457.854,0.422278,0.412234
msong-420,60,87.19,505.505,0.469929,0.549123
msong-420,70,88.18,588.631,0.553055,0.608759
msong-420,80,89.07,554.287,0.518711,0.563635
msong-420,90,89.73,577.729,0.542153,0.768936
msong-420,100,90.42,573.081,0.537505,0.539689
msong-420,110,90.88,588.813,0.553237,0.546638
msong-420,120,91.53,620.051,0.584475,0.573877
msong-420,130,91.96,663.075,0.627499,0.604822
msong-420,140,92.36,705.988,0.670412,0.647191
msong-420,150,92.69,723.256,0.68768,0.664619
msong-420,160,92.92,747.434,0.711858,0.696622
msong-420,170,93.2,783.227,0.747651,0.728253
msong-420,180,93.41,819.561,0.783985,0.771959
msong-420,190,93.66,843.062,0.807486,0.783876
msong-420,200,93.91,867.246,0.83167,0.815872
msong-420,240,95.03,989.621,0.954045,0.930309
msong-420,280,95.61,1105.8,1.07023,1.05803
msong-420,320,96.2,1209.07,1.1735,1.1531
msong-420,360,96.51,1316.11,1.28054,1.25592
msong-420,400,96.72,1409.46,1.37388,1.34905
msong-420,500,97.26,1661.49,1.62592,1.61652
msong-420,600,97.91,1863.44,1.82786,1.80276
msong-420,700,98.18,2079.4,2.04383,2.02259
msong-420,800,98.37,2292.79,2.25722,2.23982
msong-420,900,98.52,2461.04,2.42546,2.4081
msong-420,1000,98.78,2677.95,2.64238,2.6167
msong-420,1100,98.93,2848.28,2.8127,2.79911
msong-420,1200,99.08,3033.91,2.99833,2.9726
msong-420,1300,99.13,3210.2,3.17463,3.14886
msong-420,1400,99.3,3365.22,3.32965,3.31181
msong-420,1500,99.39,3533.99,3.49842,3.47256
msong-420,2000,99.71,4319.54,4.28396,4.26213
openai-1536-angular,10,74.83,777.629,0.320488,0.269453
openai-1536-angular,20,86.78,896.682,0.439541,0.408939
openai-1536-angular,30,91.01,1007.47,0.550332,0.512061
openai-1536-angular,40,93.69,1097.68,0.640542,0.612921
openai-1536-angular,50,94.64,1161.67,0.704527,0.709277
openai-1536-angular,60,95.54,1270.7,0.813562,0.783553
openai-1536-angular,70,96.11,1342.82,0.885682,0.867198
openai-1536-angular,80,96.6,1398.44,0.941302,0.914024
openai-1536-angular,90,96.87,1487.18,1.03004,0.987586
openai-1536-angular,100,97.12,1541.63,1.08448,1.05667
openai-1536-angular,110,97.34,1628.26,1.17112,1.13812
openai-1536-angular,120,97.46,1651.98,1.19484,1.16238
openai-1536-angular,130,97.67,1682.77,1.22563,1.23001
openai-1536-angular,140,97.76,1758.14,1.301,1.29865
openai-1536-angular,150,97.91,1832.07,1.37493,1.38363
openai-1536-angular,160,98.03,1890.57,1.43343,1.42113
openai-1536-angular,170,98.19,1960.32,1.50318,1.44405
openai-1536-angular,180,98.24,1998.31,1.54117,1.48644
openai-1536-angular,190,98.37,2070.86,1.61372,1.55613
openai-1536-angular,200,98.43,2128.98,1.67184,1.6362
openai-1536-angular,240,98.66,2362.16,1.90502,1.90535
openai-1536-angular,280,98.82,2587.16,2.13002,2.11835
openai-1536-angular,320,98.89,2849.55,2.3924,2.37933
openai-1536-angular,360,98.94,3050.31,2.59317,2.56867
openai-1536-angular,400,99.02,3285.49,2.82835,2.7873
openai-1536-angular,500,99.12,3781.48,3.32434,3.37883
openai-1536-angular,600,99.27,4309.83,3.85269,3.91134
openai-1536-angular,700,99.32,4816.28,4.35914,4.41001
openai-1536-angular,800,99.39,5343.47,4.88633,4.92956
openai-1536-angular,900,99.41,5788.6,5.33146,5.35892
openai-1536-angular,1000,99.44,6238.34,5.7812,5.79745
openai-1536-angular,1100,99.47,6711.75,6.2546,6.28652
openai-1536-angular,1200,99.49,6857.21,6.40006,6.38109
openai-1536-angular,1300,99.51,7298.83,6.84169,6.92189
sift-128-euclidean,10,71.336,89.4519,0.853283,0.697051
sift-128-euclidean,20,83.915,136.107,1.31983,1.16897
sift-128-euclidean,30,89.104,182.053,1.77929,1.62198
sift-128-euclidean,40,91.973,217.855,2.13732,1.99146
sift-128-euclidean,50,93.755,253.346,2.49222,2.34093
sift-128-euclidean,60,94.981,286.348,2.82224,2.68467
sift-128-euclidean,70,95.813,319.686,3.15562,3.01212
sift-128-euclidean,80,96.47,351.284,3.47161,3.32667
sift-128-euclidean,90,97.03,383.132,3.79009,3.64724
sift-128-euclidean,100,97.396,413.826,4.09702,3.9404
sift-128-euclidean,110,97.767,442.211,4.38088,4.24241
sift-128-euclidean,120,98.034,473.287,4.69163,4.55211
sift-128-euclidean,130,98.26,500.71,4.96586,4.84468
sift-128-euclidean,140,98.424,531.695,5.27572,5.13649
sift-128-euclidean,150,98.565,559.653,5.55529,5.41965
sift-128-euclidean,160,98.704,588.012,5.83889,5.70576
sift-128-euclidean,170,98.827,617.009,6.12885,6.00526
sift-128-euclidean,180,98.934,646.666,6.42542,6.28914
sift-128-euclidean,190,99.025,672.064,6.67941,6.55529
sift-128-euclidean,200,99.093,699.489,6.95366,6.82928
sift-128-euclidean,240,99.357,808.547,8.04423,7.92989
sift-128-euclidean,280,99.476,914.655,9.10531,8.99284
sift-128-euclidean,320,99.583,1019.94,10.1582,10.0448
