dataset,k,ef,tri_ef,time,min_time,recall
glove-200-angular,10,14,10,0.0297428000000000,0.0293620000000000,0.9863200187683105
glove-200-angular,10,14,9,0.0295376000000000,0.0293640000000000,0.9863200187683105
glove-200-angular,10,14,8,0.0295410000000000,0.0294510000000000,0.9863200187683105
glove-200-angular,10,14,7,0.0307474000000000,0.0292090000000000,0.9863200187683105
glove-200-angular,10,14,6,0.0295242000000000,0.0293980000000000,0.9863299727439880
glove-200-angular,10,14,5,0.0296742000000000,0.0292570000000000,0.9863299727439880
glove-200-angular,10,14,4,0.0294554000000000,0.0293990000000000,0.9863399863243103
glove-200-angular,10,14,3,0.0292946000000000,0.0292060000000000,0.9863200187683105
glove-200-angular,10,14,2,0.0293836000000000,0.0292300000000000,0.9863100051879883
glove-200-angular,10,14,1,0.0315218000000000,0.0292950000000000,0.9863299727439880
glove-200-angular,10,14,0,0.0312724000000000,0.0261100000000000,0.9863200187683105
glove-200-angular,10,15,14,0.0306974000000000,0.0303080000000000,0.9867399930953979
glove-200-angular,10,15,13,0.0359818000000000,0.0308340000000000,0.9867399930953979
glove-200-angular,10,15,12,0.0453758000000000,0.0415140000000000,0.9867399930953979
glove-200-angular,10,15,11,0.0358168000000000,0.0290590000000000,0.9867399930953979
glove-200-angular,10,15,10,0.0297382000000000,0.0291030000000000,0.9867399930953979
glove-200-angular,10,15,9,0.0301276000000000,0.0300180000000000,0.9867399930953979
glove-200-angular,10,15,8,0.0301082000000000,0.0300770000000000,0.9867399930953979
glove-200-angular,10,15,7,0.0300058000000000,0.0299490000000000,0.9867399930953979
glove-200-angular,10,15,6,0.0299878000000000,0.0298950000000000,0.9867500066757202
glove-200-angular,10,15,5,0.0299820000000000,0.0299440000000000,0.9867500066757202
glove-200-angular,10,15,4,0.0299616000000000,0.0299130000000000,0.9867600202560425
glove-200-angular,10,15,3,0.0299364000000000,0.0298370000000000,0.9867600202560425
glove-200-angular,10,15,2,0.0303938000000000,0.0295690000000000,0.9867299795150757
glove-200-angular,10,15,1,0.0299684000000000,0.0299090000000000,0.9867299795150757
glove-200-angular,10,15,0,0.0274564000000000,0.0273070000000000,0.9867399930953979
glove-200-angular,10,16,15,0.0314150000000000,0.0313410000000000,0.9871199727058411
glove-200-angular,10,16,14,0.0318120000000000,0.0310710000000000,0.9871199727058411
glove-200-angular,10,16,13,0.0313968000000000,0.0311700000000000,0.9871199727058411
glove-200-angular,10,16,12,0.0333534000000000,0.0312950000000000,0.9871199727058411
glove-200-angular,10,16,11,0.0390780000000000,0.0361250000000000,0.9871199727058411
glove-200-angular,10,16,10,0.0312824000000000,0.0304530000000000,0.9871199727058411
glove-200-angular,10,16,9,0.0314044000000000,0.0313040000000000,0.9871199727058411
glove-200-angular,10,16,8,0.0313526000000000,0.0312470000000000,0.9871199727058411
glove-200-angular,10,16,7,0.0322616000000000,0.0306550000000000,0.9871199727058411
glove-200-angular,10,16,6,0.0340042000000000,0.0303370000000000,0.9871299862861633
glove-200-angular,10,16,5,0.0319902000000000,0.0310790000000000,0.9871299862861633
glove-200-angular,10,16,4,0.0344586000000000,0.0308880000000000,0.9871399998664856
glove-200-angular,10,16,3,0.0323334000000000,0.0312790000000000,0.9871199727058411
glove-200-angular,10,16,2,0.0313116000000000,0.0307090000000000,0.9870899915695190
glove-200-angular,10,16,1,0.0312396000000000,0.0310460000000000,0.9871199727058411
glove-200-angular,10,16,0,0.0286982000000000,0.0285400000000000,0.9871199727058411
glove-200-angular,10,17,16,0.0328244000000000,0.0324840000000000,0.9874799847602844
glove-200-angular,10,17,15,0.0326128000000000,0.0325410000000000,0.9874799847602844
glove-200-angular,10,17,14,0.0326024000000000,0.0324270000000000,0.9874799847602844
glove-200-angular,10,17,13,0.0326402000000000,0.0325340000000000,0.9874799847602844
glove-200-angular,10,17,12,0.0351826000000000,0.0325760000000000,0.9874799847602844
glove-200-angular,10,17,11,0.0395678000000000,0.0373450000000000,0.9874799847602844
glove-200-angular,10,17,10,0.0422008000000000,0.0378890000000000,0.9874799847602844
glove-200-angular,10,17,9,0.0325836000000000,0.0321000000000000,0.9874799847602844
glove-200-angular,10,17,8,0.0330912000000000,0.0325240000000000,0.9874799847602844
glove-200-angular,10,17,7,0.0325350000000000,0.0324000000000000,0.9874799847602844
glove-200-angular,10,17,6,0.0325694000000000,0.0323970000000000,0.9874899983406067
glove-200-angular,10,17,5,0.0325476000000000,0.0324830000000000,0.9874899983406067
glove-200-angular,10,17,4,0.0325640000000000,0.0324940000000000,0.9874899983406067
glove-200-angular,10,17,3,0.0324434000000000,0.0324090000000000,0.9874699711799622
glove-200-angular,10,17,2,0.0324012000000000,0.0323170000000000,0.9874600172042847
glove-200-angular,10,17,1,0.0323946000000000,0.0322970000000000,0.9874899983406067
glove-200-angular,10,17,0,0.0300456000000000,0.0296570000000000,0.9874799847602844
glove-200-angular,10,18,17,0.0370386000000000,0.0340090000000000,0.9878000020980835
glove-200-angular,10,18,16,0.0340920000000000,0.0338430000000000,0.9878000020980835
glove-200-angular,10,18,15,0.0345082000000000,0.0338940000000000,0.9878000020980835
glove-200-angular,10,18,14,0.0341380000000000,0.0339930000000000,0.9878000020980835
