dataset,k,ef,tri_ef,time,min_time,recall
gist-960-euclidean,10,13,0,0.0214620000000000,0.0211580000000000,0.9948999881744385
gist-960-euclidean,10,14,13,0.0268932000000000,0.0246380000000000,0.9951999783515930
gist-960-euclidean,10,14,12,0.0282950000000000,0.0241990000000000,0.9951999783515930
gist-960-euclidean,10,14,11,0.0277682000000000,0.0236330000000000,0.9951999783515930
gist-960-euclidean,10,14,10,0.0268762000000000,0.0240720000000000,0.9951999783515930
gist-960-euclidean,10,14,9,0.0287740000000000,0.0271670000000000,0.9951999783515930
gist-960-euclidean,10,14,8,0.0274928000000000,0.0240400000000000,0.9951999783515930
gist-960-euclidean,10,14,7,0.0290736000000000,0.0285680000000000,0.9951999783515930
gist-960-euclidean,10,14,6,0.0248214000000000,0.0225960000000000,0.9951999783515930
gist-960-euclidean,10,14,5,0.0227862000000000,0.0226570000000000,0.9951999783515930
gist-960-euclidean,10,14,4,0.0227550000000000,0.0227020000000000,0.9951999783515930
gist-960-euclidean,10,14,3,0.0257252000000000,0.0226730000000000,0.9951000213623047
gist-960-euclidean,10,14,2,0.0227658000000000,0.0227400000000000,0.9951999783515930
gist-960-euclidean,10,14,1,0.0228478000000000,0.0226720000000000,0.9951000213623047
gist-960-euclidean,10,14,0,0.0223238000000000,0.0222570000000000,0.9951999783515930
gist-960-euclidean,10,15,14,0.0239538000000000,0.0238790000000000,0.9957000017166138
gist-960-euclidean,10,15,13,0.0240926000000000,0.0238680000000000,0.9957000017166138
gist-960-euclidean,10,15,12,0.0239016000000000,0.0238510000000000,0.9957000017166138
gist-960-euclidean,10,15,11,0.0243852000000000,0.0238680000000000,0.9957000017166138
gist-960-euclidean,10,15,10,0.0252004000000000,0.0238380000000000,0.9957000017166138
gist-960-euclidean,10,15,9,0.0238168000000000,0.0237760000000000,0.9957000017166138
gist-960-euclidean,10,15,8,0.0239528000000000,0.0238350000000000,0.9958000183105469
gist-960-euclidean,10,15,7,0.0253564000000000,0.0238110000000000,0.9958000183105469
gist-960-euclidean,10,15,6,0.0258138000000000,0.0238790000000000,0.9958000183105469
gist-960-euclidean,10,15,5,0.0240016000000000,0.0238690000000000,0.9958000183105469
gist-960-euclidean,10,15,4,0.0240664000000000,0.0238510000000000,0.9958000183105469
gist-960-euclidean,10,15,3,0.0239392000000000,0.0238480000000000,0.9958999752998352
gist-960-euclidean,10,15,2,0.0239730000000000,0.0238730000000000,0.9958999752998352
gist-960-euclidean,10,15,1,0.0239756000000000,0.0238520000000000,0.9958000183105469
gist-960-euclidean,10,15,0,0.0236074000000000,0.0232740000000000,0.9957000017166138
gist-960-euclidean,10,16,15,0.0265102000000000,0.0248990000000000,0.9961000084877014
gist-960-euclidean,10,16,14,0.0260514000000000,0.0248920000000000,0.9961000084877014
gist-960-euclidean,10,16,13,0.0266120000000000,0.0249410000000000,0.9961000084877014
gist-960-euclidean,10,16,12,0.0249890000000000,0.0249300000000000,0.9961000084877014
gist-960-euclidean,10,16,11,0.0249522000000000,0.0249150000000000,0.9961000084877014
gist-960-euclidean,10,16,10,0.0249362000000000,0.0248970000000000,0.9961000084877014
gist-960-euclidean,10,16,9,0.0251436000000000,0.0248950000000000,0.9961000084877014
gist-960-euclidean,10,16,8,0.0249586000000000,0.0248330000000000,0.9961000084877014
gist-960-euclidean,10,16,7,0.0254964000000000,0.0248840000000000,0.9961000084877014
gist-960-euclidean,10,16,6,0.0249936000000000,0.0248880000000000,0.9962000250816345
gist-960-euclidean,10,16,5,0.0250414000000000,0.0249040000000000,0.9963999986648560
gist-960-euclidean,10,16,4,0.0252804000000000,0.0249680000000000,0.9963999986648560
gist-960-euclidean,10,16,3,0.0250050000000000,0.0249770000000000,0.9963999986648560
gist-960-euclidean,10,16,2,0.0250190000000000,0.0249840000000000,0.9963999986648560
gist-960-euclidean,10,16,1,0.0249488000000000,0.0249300000000000,0.9962999820709229
gist-960-euclidean,10,16,0,0.0281822000000000,0.0245680000000000,0.9961000084877014
gist-960-euclidean,10,17,16,0.0295584000000000,0.0259200000000000,0.9966999888420105
gist-960-euclidean,10,17,15,0.0294882000000000,0.0258450000000000,0.9966999888420105
gist-960-euclidean,10,17,14,0.0314012000000000,0.0301550000000000,0.9966999888420105
gist-960-euclidean,10,17,13,0.0259366000000000,0.0258810000000000,0.9966999888420105
gist-960-euclidean,10,17,12,0.0259414000000000,0.0259130000000000,0.9966999888420105
gist-960-euclidean,10,17,11,0.0301620000000000,0.0259400000000000,0.9966999888420105
gist-960-euclidean,10,17,10,0.0335716000000000,0.0300600000000000,0.9966999888420105
gist-960-euclidean,10,17,9,0.0262644000000000,0.0259250000000000,0.9966999888420105
gist-960-euclidean,10,17,8,0.0260340000000000,0.0259280000000000,0.9968000054359436
gist-960-euclidean,10,17,7,0.0262394000000000,0.0260650000000000,0.9968000054359436
gist-960-euclidean,10,17,6,0.0278396000000000,0.0260130000000000,0.9968000054359436
