dataset,k,ef,tri_ef,time,min_time,recall
fashion-mnist-784-euclidean,10,12,10,0.0545792000000000,0.0513630000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,12,9,0.0528146000000000,0.0512370000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,12,8,0.0512174000000000,0.0510740000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,12,7,0.0511064000000000,0.0508180000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,12,6,0.0510684000000000,0.0509190000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,12,5,0.0509968000000000,0.0509150000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,12,4,0.0509112000000000,0.0507680000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,12,3,0.0521694000000000,0.0508690000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,12,2,0.0528788000000000,0.0509180000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,12,1,0.0514712000000000,0.0498230000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,12,0,0.0493484000000000,0.0492480000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,13,12,0.0575402000000000,0.0535260000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,13,11,0.0602016000000000,0.0538590000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,13,10,0.0539802000000000,0.0525100000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,13,9,0.0532946000000000,0.0531630000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,13,8,0.0533090000000000,0.0531560000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,13,7,0.0533864000000000,0.0532650000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,13,6,0.0532252000000000,0.0531660000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,13,5,0.0536632000000000,0.0528800000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,13,4,0.0536314000000000,0.0531840000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,13,3,0.0532026000000000,0.0524970000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,13,2,0.0532094000000000,0.0531200000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,13,1,0.0542902000000000,0.0530770000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,13,0,0.0556582000000000,0.0514630000000000,0.9999099969863892
fashion-mnist-784-euclidean,10,14,13,0.0561868000000000,0.0560380000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,12,0.0564274000000000,0.0554850000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,11,0.0568486000000000,0.0558160000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,10,0.0561772000000000,0.0545510000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,9,0.0561168000000000,0.0560240000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,8,0.0558402000000000,0.0551110000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,7,0.0582696000000000,0.0558880000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,6,0.0559742000000000,0.0558030000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,5,0.0571330000000000,0.0559670000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,4,0.0630020000000000,0.0572000000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,3,0.0585942000000000,0.0557860000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,2,0.0601074000000000,0.0561390000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,1,0.0566750000000000,0.0565820000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,14,0,0.0577522000000000,0.0545430000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,14,0.0616162000000000,0.0614700000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,13,0.0615504000000000,0.0613590000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,12,0.0616242000000000,0.0615100000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,11,0.0631508000000000,0.0616770000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,10,0.0645536000000000,0.0614870000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,9,0.0632308000000000,0.0613840000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,8,0.0615890000000000,0.0612820000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,7,0.0633948000000000,0.0614410000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,6,0.0615540000000000,0.0612640000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,5,0.0617814000000000,0.0613380000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,4,0.0615492000000000,0.0613360000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,3,0.0616500000000000,0.0614390000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,2,0.0614956000000000,0.0613110000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,1,0.0644696000000000,0.0612880000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,15,0,0.0610084000000000,0.0582830000000000,0.9999300241470337
fashion-mnist-784-euclidean,10,16,15,0.0638280000000000,0.0635060000000000,0.9999399781227112
fashion-mnist-784-euclidean,10,16,14,0.0638712000000000,0.0632780000000000,0.9999399781227112
fashion-mnist-784-euclidean,10,16,13,0.0639810000000000,0.0638900000000000,0.9999399781227112
fashion-mnist-784-euclidean,10,16,12,0.0667576000000000,0.0639390000000000,0.9999399781227112
fashion-mnist-784-euclidean,10,16,11,0.0641354000000000,0.0639780000000000,0.9999399781227112
fashion-mnist-784-euclidean,10,16,10,0.0640844000000000,0.0640000000000000,0.9999399781227112
fashion-mnist-784-euclidean,10,16,9,0.0665516000000000,0.0637110000000000,0.9999399781227112
fashion-mnist-784-euclidean,10,16,8,0.0639588000000000,0.0638270000000000,0.9999399781227112
fashion-mnist-784-euclidean,10,16,7,0.0659234000000000,0.0640530000000000,0.9999399781227112
fashion-mnist-784-euclidean,10,16,6,0.0640696000000000,0.0639770000000000,0.9999399781227112
